     100
      1.84933  0.000159231
      1.85468   -0.0518650
      1.86084    -0.103375
      1.86802    -0.154792
      1.87593    -0.206355
      1.88511    -0.258197
      1.89491    -0.310671
      1.90655    -0.363974
      1.91856    -0.418182
      1.93301    -0.474154
      1.94835    -0.531013
      1.96584    -0.590678
      1.96650    -0.670124
      1.99093    -0.735421
      2.01632    -0.801433
      2.04561    -0.872236
      2.07727    -0.948517
      2.11192     -1.03219
      2.15013     -1.12453
      2.19307     -1.22803
      2.26044     -1.29089
      2.33643     -1.33440
      2.41039     -1.40935
      2.46315     -1.70980
      2.57840     -1.60296
      2.67932     -1.63174
      2.78598     -1.69108
      2.88175     -1.60334
      2.97769     -1.58308
      3.01986     -1.32733
      3.09332     -1.27696
      3.16612     -1.23144
      3.24894     -1.20890
      3.29102     -1.11318
      3.34385     -1.04739
      3.39764    -0.989258
      3.44882    -0.930336
      3.49594    -0.869741
      3.54028    -0.808826
      3.58233    -0.747156
      3.62087    -0.684163
      3.65654    -0.620345
      3.69027    -0.555855
      3.72010    -0.489819
      3.74822    -0.423257
      3.77442    -0.355848
      3.79689    -0.286918
      3.81794    -0.217109
      3.83651    -0.146183
      3.85190   -0.0736253
      3.86556  0.000215067
      3.87627    0.0753295
      3.88371     0.152408
      3.88886     0.231119
      3.89132     0.311224
      3.88902     0.393332
      3.88399     0.477494
      3.87549     0.563326
      3.86325     0.650957
      3.84519     0.740041
      3.82285     0.831368
      3.79565     0.924262
      3.76296      1.01845
      3.72444      1.11375
      3.67976      1.20954
      3.64049      1.32357
      3.59802      1.44783
      3.51608      1.52229
      3.43170      1.59912
      3.34655      1.68627
      3.25160      1.76362
      3.15189      1.84146
      3.03686      1.87512
      2.92079      1.91752
      2.80238      1.96010
      2.67922      1.98287
      2.55466      1.98011
      2.43261      1.95331
      2.31622      1.90388
      2.20901      1.83250
      2.12407      1.70887
      2.05723      1.57112
      2.00461      1.43377
      1.95695      1.31401
      1.92583      1.18825
      1.91182      1.05628
      1.89646     0.946256
      1.88383     0.847067
      1.87243     0.757674
      1.86208     0.676447
      1.85375     0.600521
      1.84685     0.528739
      1.84155     0.460556
      1.83856     0.396173
      1.83681     0.333863
      1.83596     0.274096
      1.83702     0.216679
      1.83850     0.160408
      1.84132     0.106169
      1.84483    0.0525016
